Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190131;AML;6219;Stage title registration;;DFXC1-189-;;;M;20190131
20190131;AML;6242;Sales Contract Header;;;;;M;20190131
20190131;AML;6255;;;;;;M;20190131
20190131;AML;6261;Sales contract;;;;;M;20190131
20190131;TRT;SPEYLOT;Stage;;;;YLAND;M;20190131
20190131;TRT;SPEYSLC;;;;;YLAND;M;20190131
20190131;TRT;SUBYLOT;Estate;;;;YLAND;M;20190131
20190129;TRT;SUBYSRU; Reporting group ;;;;;M;20190131
20190131;TRT;SUBYSTA;Stage number;;;;;C;20190131
20190131;ACL;YSTAGNBR;Stage title registration;;;;;M;20190131
20190131;ATB;YESTA;Estate;;;;;M;20190131
20190131;ATB;YSALCTR;;;;;;M;20190131
20190131;ATB;YSTAGREG;Land Developments - Stage;;;;;M;20190131
20190131;AMK;YEST;Lot;;;;;M;20190131
20190131;AMK;YSLC; Intended use ;;;;;M;20190131
20190131;AMK;YSLCCONSGN; Land development & Settlement;;;;;M;20190131
20190131;AMK;YSTA;Lot;;;;;M;20190131
20190131;ACLA;YEST; Trafic light ;;;;;C;20190131
20190131;ACLA;YSALCTR;Land Developm - Sales Contract;;;;;M;20190131
20190131;ACLA;YSRG;Sales contract;;;;;M;20190131
