Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190215;TRT;SPEYBBCRE;Sales Contract;[PATCH]/SRC_20190404;DFCX1-375;MAJID;YLAND;M;20190408
20190214;TRT;SPEYSCL;;[PATCH]/SRC_20190404;;MAJID;YLSP;M;20190408
20190214;TRT;SPEYSETRUL;Settlement Rule;[PATCH]/SRC_20190404;;MAJID;YLSP;M;20190408
20190214;TRT;SPEYSETRULT;Sales Contract List;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190214;TRT;SUBYBB;;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190214;TRT;SUBYSCL;;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190214;TRT;SUBYSETRUL;Settlement Rule type;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190208;TRT;SUBYSETRULC;;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190208;TRT;SUBYSGBB;;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190208;TRT;SUBYSLC;Settlement Rule;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190214;ATB;YSETRUL;;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190215;AMK;YSCL0;;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190215;AMK;YSETRUL;Land Developm - Sales Contract;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190325;AMK;YSETRULTMP;Settlement Rule;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190325;AWI;OYSLC;Settlement Rule type;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190325;ASW;YSETRUL;Settlement rule;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190325;ACLA;YSETRUL;Settlement Rule Type;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190329;ASW;YSETRULTYP;Settlement Rule;[PATCH]/SRC_20190404;;MAJID;;M;20190408
20190404;ACLA;YSETRULTYP;Settlement Rule;[PATCH]/SRC_20190404;;MAJID;;M;20190408
